Products Collection ID,Product ID,Variants Collection ID,Variant ID,Product Handle,Product Name,Product Type,Product Description,Product Categories,Main Variant Image,More Variant Images,Variant Price,Variant Compare-at Price,Product Tax Class,Variant Sku,Variant Inventory,Requires Shipping,Variant Weight,Variant Width,Variant Height,Variant Length,Variant Download Name,Variant Download URL,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Created On,Updated On,Published On
6661a861674a3d92361559ed,66699ff9407cc8b5ebe5db61,6661a861674a3d92361559ee,6669df527a863a7b025527f8,vkb-blok,ВКБ Стеновые энергоэф. блоки (ровные) ,Physical,,,https://uploads-ssl.webflow.com/6661a861674a3d9236155996/666ab148430aeb4b41b6ea75_2024-05-23%2000.15%201%20(4).png,,"₽5 400,00",,standard-taxable,,,false,,,,,,,Размер,375,,,,,Wed Jun 12 2024 13:17:45 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:30:50 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:41:58 GMT+0000 (Coordinated Universal Time)
6661a861674a3d92361559ed,66699ff9407cc8b5ebe5db61,6661a861674a3d92361559ee,6669df52255b08bc27fe606d,vkb-blok,ВКБ Стеновые энергоэф. блоки (ровные) ,Physical,,,https://uploads-ssl.webflow.com/6661a861674a3d9236155996/666ab148430aeb4b41b6ea75_2024-05-23%2000.15%201%20(4).png,,"₽5 400,00",,standard-taxable,,,false,,,,,,,Размер,350,,,,,Wed Jun 12 2024 13:17:45 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:30:50 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:41:58 GMT+0000 (Coordinated Universal Time)
6661a861674a3d92361559ed,66699ff9407cc8b5ebe5db61,6661a861674a3d92361559ee,6669df529de71eb048a5323b,vkb-blok,ВКБ Стеновые энергоэф. блоки (ровные) ,Physical,,,https://uploads-ssl.webflow.com/6661a861674a3d9236155996/666ab148430aeb4b41b6ea75_2024-05-23%2000.15%201%20(4).png,,"₽5 400,00",,standard-taxable,,,false,,,,,,,Размер,250,,,,,Wed Jun 12 2024 13:17:45 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:30:50 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:41:58 GMT+0000 (Coordinated Universal Time)
6661a861674a3d92361559ed,66699ff9407cc8b5ebe5db61,6661a861674a3d92361559ee,6669df5200fbd58c1ce0c063,vkb-blok,ВКБ Стеновые энергоэф. блоки (ровные) ,Physical,,,https://uploads-ssl.webflow.com/6661a861674a3d9236155996/666ab148430aeb4b41b6ea75_2024-05-23%2000.15%201%20(4).png,,"₽5 400,00",,standard-taxable,,,false,,,,,,,Размер,400,,,,,Wed Jun 12 2024 13:17:45 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:30:50 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:41:58 GMT+0000 (Coordinated Universal Time)
6661a861674a3d92361559ed,66699ff9407cc8b5ebe5db61,6661a861674a3d92361559ee,6669df52900576edcba950aa,vkb-blok,ВКБ Стеновые энергоэф. блоки (ровные) ,Physical,,,https://uploads-ssl.webflow.com/6661a861674a3d9236155996/666ab148430aeb4b41b6ea75_2024-05-23%2000.15%201%20(4).png,,"₽5 400,00",,standard-taxable,,,false,,,,,,,Размер,300,,,,,Wed Jun 12 2024 13:17:45 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:30:50 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:41:58 GMT+0000 (Coordinated Universal Time)
6661a861674a3d92361559ed,66699ff9407cc8b5ebe5db61,6661a861674a3d92361559ee,66699ffa5dc64d180095a853,vkb-blok,ВКБ Стеновые энергоэф. блоки (ровные) ,Physical,,,https://uploads-ssl.webflow.com/6661a861674a3d9236155996/666ab148430aeb4b41b6ea75_2024-05-23%2000.15%201%20(4).png,,"₽5 400,00",,standard-taxable,,,false,,,,,,,Размер,200,,,,,Wed Jun 12 2024 13:17:45 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:30:50 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:41:58 GMT+0000 (Coordinated Universal Time)
6661a861674a3d92361559ed,66631c49e9cd90b03b89b8ae,6661a861674a3d92361559ee,66631c4ad50d647f38eb4b89,vonolit-armirovannaya-gazobetonnaya-peremychka-pba,Вonolit Армированная газобетонная перемычка ПБА,Physical,"Марка плотности - 600 кг/м³
класс прочности на сжатие - в 2.5 Теплопроводность - вт/мхС 0,12",Bonolit,https://uploads-ssl.webflow.com/6661a861674a3d9236155996/66631b90e9cd90b03b88df65_IMAGE%202024-05-28%2016_52_14%203.png,,"₽800,00",,standard-taxable,,,false,,,,,,,,,,,,,Fri Jun 07 2024 14:42:17 GMT+0000 (Coordinated Universal Time),Thu Jun 13 2024 06:18:11 GMT+0000 (Coordinated Universal Time),Thu Jun 13 2024 06:41:18 GMT+0000 (Coordinated Universal Time)
6661a861674a3d92361559ed,66631c2a6b7c3dac1c364058,6661a861674a3d92361559ee,66631c2b11a8b5f581ae3c57,vonolit-p-obraznye-ili-u-obraznye-bloki-peremychki-iz-gazobetona,Вonolit п-образные или U-образные блоки (перемычки)из газобетона,Physical,"Марка плотности - 500 кг/м³
класс прочности на сжатие - в 2.5 Теплопроводность - вт/мхС 0,12",Bonolit,https://uploads-ssl.webflow.com/6661a861674a3d9236155996/66631b90e9cd90b03b88df65_IMAGE%202024-05-28%2016_52_14%203.png,,"₽650,00",,standard-taxable,,,false,,,,,,,,,,,,,Fri Jun 07 2024 14:41:46 GMT+0000 (Coordinated Universal Time),Thu Jun 13 2024 06:18:19 GMT+0000 (Coordinated Universal Time),Thu Jun 13 2024 06:41:18 GMT+0000 (Coordinated Universal Time)
6661a861674a3d92361559ed,66631c10d271649729a85511,6661a861674a3d92361559ee,66631c11fb76e346e0a89e7a,vonolit-peregorodochnye-bloki-bonolit-ultraprochnye,Вonolit перегородочные блоки (bonolit) ультрапрочные,Physical,"Марка плотности - 600 кг/м³
класс прочности на сжатие - в 3.5 марка морозостойкости - F75
Теплопроводность - вт/мхС 0,14",Bonolit,https://uploads-ssl.webflow.com/6661a861674a3d9236155996/66631b90e9cd90b03b88df65_IMAGE%202024-05-28%2016_52_14%203.png,,"₽6 900,00",,standard-taxable,,,false,,,,,,,,,,,,,Fri Jun 07 2024 14:41:20 GMT+0000 (Coordinated Universal Time),Thu Jun 13 2024 06:18:40 GMT+0000 (Coordinated Universal Time),Thu Jun 13 2024 06:41:18 GMT+0000 (Coordinated Universal Time)
6661a861674a3d92361559ed,66631bf30d55152e56f615a9,6661a861674a3d92361559ee,66631bf4c278ff054e2f3126,vonolit-peregorodochnye-bloki-bonolit,Вonolit перегородочные блоки (ровные),Physical,"Марка плотности - 600 кг/м³
класс прочности на сжатие - в 2.5 марка морозостойкости - F75
Теплопроводность - вт/мхС 0,12",Bonolit,https://uploads-ssl.webflow.com/6661a861674a3d9236155996/66631b90e9cd90b03b88df65_IMAGE%202024-05-28%2016_52_14%203.png,,"₽6 600,00",,standard-taxable,,,false,,,,,,,,,,,,,Fri Jun 07 2024 14:40:51 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 18:43:22 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 18:43:27 GMT+0000 (Coordinated Universal Time)
6661a861674a3d92361559ed,66631bd0855dc24bee0244ba,6661a861674a3d92361559ee,66631bd1f1bd1db2be42ede3,vonolit-stenovye-kontrukcionnye-bloki-povyshenoy-prochnosti-rovnye,Вonolit Стеновые контрукционные блоки повышеной прочности (ровные),Physical,"Марка плотности - 600 кг/м³
класс прочности на сжатие - в 3.5 марка морозостойкости - F75
Теплопроводность - вт/мхС 0,14",Bonolit;ПОПУЛЯРНОЕ,https://uploads-ssl.webflow.com/6661a861674a3d9236155996/66631b90e9cd90b03b88df65_IMAGE%202024-05-28%2016_52_14%203.png,,"₽6 800,00",,standard-taxable,,,false,,,,,,,,,,,,,Fri Jun 07 2024 14:40:16 GMT+0000 (Coordinated Universal Time),Thu Jun 13 2024 06:19:05 GMT+0000 (Coordinated Universal Time),Thu Jun 13 2024 06:41:18 GMT+0000 (Coordinated Universal Time)
6661a861674a3d92361559ed,66631bb8a6b7d9bca630e4d1,6661a861674a3d92361559ee,66631bb9d50d647f38eae51a,vonolit-stenovye-kontrukcionnye-bloki-rovnye,Вonolit Стеновые контрукционные блоки (ровные),Physical,"Марка плотности - 500 кг/м³
класс прочности на сжатие - в 2.5 марка морозостойкости - F75
Теплопроводность - вт/мхС 0,12",Bonolit;ПОПУЛЯРНОЕ,https://uploads-ssl.webflow.com/6661a861674a3d9236155996/66631b90e9cd90b03b88df65_IMAGE%202024-05-28%2016_52_14%203.png,,"₽6 500,00",,standard-taxable,,,false,,,,,,,,,,,,,Fri Jun 07 2024 14:39:52 GMT+0000 (Coordinated Universal Time),Thu Jun 13 2024 06:19:14 GMT+0000 (Coordinated Universal Time),Thu Jun 13 2024 06:41:18 GMT+0000 (Coordinated Universal Time)
6661a861674a3d92361559ed,66631b9aa73ec71414ae93f3,6661a861674a3d92361559ee,66631b9c7545f2a77afbe28d,bonolit-stenovye-kontrukcionno-teploizolyacionnye-bloki-rovnye,Bonolit Стеновые контрукционно-теплоизоляционные блоки (ровные) ,Physical,"Марка плотности - 400 кг/м³
класс прочности на сжатие - в 2.0 марка морозостойкости - F75
Теплопроводность - вт/мхС 0,096",Bonolit,https://uploads-ssl.webflow.com/6661a861674a3d9236155996/66631b90e9cd90b03b88df65_IMAGE%202024-05-28%2016_52_14%203.png,,"₽6 300,00",,standard-taxable,,,false,,,,,,,,,,,,,Fri Jun 07 2024 14:39:22 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 18:43:05 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 18:43:27 GMT+0000 (Coordinated Universal Time)
6661a861674a3d92361559ed,66631b71089da1e401af5daf,6661a861674a3d92361559ee,66631b72e35a0910455951fa,aerostone-bloki-stenovye-konstrukcionnye-rovnye,Аerostone блоки стеновые конструкц. (ровные) ,Physical,"Марка плотности - 500 кг/м³
класс прочности на сжатие - в 2.5
марка морозостойкости - F75
Теплопроводность - вт/мхС 0,12",Aerostone;НОВИНКИ,https://uploads-ssl.webflow.com/6661a861674a3d9236155996/6663123ef409b6c3758c3642_2024-05-28%2016.13%203.png,,"₽260,00",,standard-taxable,,,false,,,,,,,,,,,,,Fri Jun 07 2024 14:38:41 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:37:49 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:41:58 GMT+0000 (Coordinated Universal Time)
6661a861674a3d92361559ed,66631b4d65c5303b563fa971,6661a861674a3d92361559ee,66631b4e60e7469b8cb7d33d,aerostone-bloki-dlya-montazha-peregorodok-povyshennoy-prochnosti-rovnye,Аerostone блоки для монтажа перегородок повыш. прочн.(ровные) ,Physical,"Марка плотности - 600 кг/м³
класс прочности на сжатие - в 3.5",Aerostone,https://uploads-ssl.webflow.com/6661a861674a3d9236155996/6663123ef409b6c3758c3642_2024-05-28%2016.13%203.png,,"₽4 300,00",,standard-taxable,,,false,,,,,,,,,,,,,Fri Jun 07 2024 14:38:05 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:38:09 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:41:58 GMT+0000 (Coordinated Universal Time)
6661a861674a3d92361559ed,66631b34510866cfaab6ca3c,6661a861674a3d92361559ee,66631b34847f2c7b24ac7d07,aerostone-bloki-dlya-montazha-peregorodok-rovnye-2,Аerostone блоки для монтажа перегородок (ровные) ,Physical,"Марка плотности - 500 кг/м³
класс прочности на сжатие - в 2.5",Aerostone,https://uploads-ssl.webflow.com/6661a861674a3d9236155996/6663123ef409b6c3758c3642_2024-05-28%2016.13%203.png,,"₽4 100,00",,standard-taxable,,,false,,,,,,,,,,,,,Fri Jun 07 2024 14:37:40 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:38:25 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:41:58 GMT+0000 (Coordinated Universal Time)
6661a861674a3d92361559ed,66631b0e6a9167c94a097e46,6661a861674a3d92361559ee,66631b0f72fe644ba2ee8eb8,aerostone-bloki-dlya-montazha-peregorodok-rovnye,Аerostone блоки для монтажа перегородок (ровные) ,Physical,"Марка плотности - 400 кг/м³
класс прочности на сжатие - в 2.0",Aerostone,https://uploads-ssl.webflow.com/6661a861674a3d9236155996/6663123ef409b6c3758c3642_2024-05-28%2016.13%203.png,,"₽3 900,00",,standard-taxable,,,false,,,,,,,,,,,,,Fri Jun 07 2024 14:37:02 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:38:33 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:41:58 GMT+0000 (Coordinated Universal Time)
6661a861674a3d92361559ed,66631aea9691a7f3ed2184b4,6661a861674a3d92361559ee,66631aeb8ad4ec7aa237c9af,aerostone-stenovye-konstrukcionnye-bloki-povyshennoy-prochnosti-rovnye,Аerostone Стеновые конструкц. блоки повыш. проч. ,Physical,"Марка плотности - 600 кг/м³
класс прочности на сжатие - в 3.5 марка морозостойкости - F75
Теплопроводность - вт/мхС 0,14",Aerostone,https://uploads-ssl.webflow.com/6661a861674a3d9236155996/6663123ef409b6c3758c3642_2024-05-28%2016.13%203.png,,"₽4 300,00",,standard-taxable,,,false,,,,,,,,,,,,,Fri Jun 07 2024 14:36:26 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:41:08 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:41:58 GMT+0000 (Coordinated Universal Time)
6661a861674a3d92361559ed,66631ac94930bec5fb85228e,6661a861674a3d92361559ee,66631aca315606c774c60d3a,aerostone-stenovye-konstrukcionnye-bloki-rovnye,Aerostone Стеновые конструкц. блоки (ровные) ,Physical,"Марка плотности - 500 кг/м³
класс прочности на сжатие - в 2.5 марка морозостойкости - F75
Теплопроводность - вт/мхС 0,12",Aerostone,https://uploads-ssl.webflow.com/6661a861674a3d9236155996/6663123ef409b6c3758c3642_2024-05-28%2016.13%203.png,,"₽4 100,00",,standard-taxable,,,false,,,,,,,,,,,,,Fri Jun 07 2024 14:35:53 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:39:18 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:41:58 GMT+0000 (Coordinated Universal Time)
6661a861674a3d92361559ed,66631a981ea630274c842040,6661a861674a3d92361559ee,66631a99df479d5051c7a30f,vkblok-stenovye-energoeffektivnye-bloki-rovnye-3,ВКБ Стеновые энергоэф. блоки (ровные) ,Physical,"Марка плотности - 600 кг/м³
класс прочности на сжатие - в 3.5 Теплопроводность - вт/мхС 0,14",ВКБлок,https://uploads-ssl.webflow.com/6661a861674a3d9236155996/666319988f193f7096648e21_2024-05-23%2000.15%201%20(1).png,,"₽5 900,00",,standard-taxable,,,false,,,,,,,,,,,,,Fri Jun 07 2024 14:35:04 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:31:03 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:41:58 GMT+0000 (Coordinated Universal Time)
6661a861674a3d92361559ed,66631a780c369cbd842cdbca,6661a861674a3d92361559ee,66631a79d97e502d3dc0852f,vkblok-stenovye-energoeffektivnye-bloki-rovnye-2,ВКБ Стеновые энергоэф. блоки (ровные) ,Physical,"Марка плотности - 500 кг/м³
класс прочности на сжатие - в 2.5 морозостойкость - F100
Теплопроводность - вт/мхС 0,112",ВКБлок,https://uploads-ssl.webflow.com/6661a861674a3d9236155996/666319988f193f7096648e21_2024-05-23%2000.15%201%20(1).png,,"₽5 600,00",,standard-taxable,,,false,,,,,,,,,,,,,Fri Jun 07 2024 14:34:32 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:31:15 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:41:58 GMT+0000 (Coordinated Universal Time)
6661a861674a3d92361559ed,6663125cb87a78fa3d4b4a75,6661a861674a3d92361559ee,6663125d248bf70e50c11bf0,aaerostone-stenovye-energoeffektivnye-bloki-rovnye,Aaerostone Стеновые энергоэф. блоки (ровные) ,Physical,"Марка плотности - 400 кг/м³
класс прочности на сжатие - в 2.0 марка морозостойкости - F75
Теплопроводность - вт/мхС 0,096 Длина - 625мм
высота - 200мм
ширина - 250мм",Aerostone;НОВИНКИ,https://uploads-ssl.webflow.com/6661a861674a3d9236155996/6663123ef409b6c3758c3642_2024-05-28%2016.13%203.png,,"₽3 900,00",,standard-taxable,2121,,true,,,,,,,,,,,,,Fri Jun 07 2024 13:59:56 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:39:29 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 08:41:58 GMT+0000 (Coordinated Universal Time)
6661a861674a3d92361559ed,66630fafaf3666d6590ef16d,6661a861674a3d92361559ee,66630fb00817aebf0c082ff6,vkblok-stenovye-energoeffektivnye-bloki-rovnye,ВКБлок Стеновые энергоэффективные блоки (ровные) ,Physical,"Марка плотности - 400 кг/м³
класс прочности на сжатие - в 2.5 морозостойкость - F100
Теплопроводность - вт/мхС 0,091 Длина - 625мм
высота - 250мм
ширина - 150мм",НОВИНКИ,https://uploads-ssl.webflow.com/6661a861674a3d9236155996/66630e0a5e0ba33eca64104c_2024-05-23%2000.15%201%20(1).png,,"₽5 600,00","₽5 900,00",standard-taxable,0124,,false,,,,,,,Размер,D500,,,,,Fri Jun 07 2024 13:48:31 GMT+0000 (Coordinated Universal Time),Wed Jun 12 2024 13:17:18 GMT+0000 (Coordinated Universal Time),
6661a861674a3d92361559ed,66630fafaf3666d6590ef16d,6661a861674a3d92361559ee,66630fb00817aebf0c082fec,vkblok-stenovye-energoeffektivnye-bloki-rovnye,ВКБлок Стеновые энергоэффективные блоки (ровные) ,Physical,"Марка плотности - 400 кг/м³
класс прочности на сжатие - в 2.5 морозостойкость - F100
Теплопроводность - вт/мхС 0,091 Длина - 625мм
высота - 250мм
ширина - 150мм",НОВИНКИ,https://uploads-ssl.webflow.com/6661a861674a3d9236155996/66630e0a5e0ba33eca64104c_2024-05-23%2000.15%201%20(1).png,,"₽5 400,00","₽5 900,00",standard-taxable,0123,,false,,,,,,,Размер,D400,,,,,Fri Jun 07 2024 13:48:31 GMT+0000 (Coordinated Universal Time),Wed Jun 12 2024 13:17:18 GMT+0000 (Coordinated Universal Time),
6661a861674a3d92361559ed,66630fafaf3666d6590ef16d,6661a861674a3d92361559ee,66630fb00817aebf0c082fe9,vkblok-stenovye-energoeffektivnye-bloki-rovnye,ВКБлок Стеновые энергоэффективные блоки (ровные) ,Physical,"Марка плотности - 400 кг/м³
класс прочности на сжатие - в 2.5 морозостойкость - F100
Теплопроводность - вт/мхС 0,091 Длина - 625мм
высота - 250мм
ширина - 150мм",НОВИНКИ,https://uploads-ssl.webflow.com/6661a861674a3d9236155996/66630e0a5e0ba33eca64104c_2024-05-23%2000.15%201%20(1).png,,"₽5 900,00","₽5 900,00",standard-taxable,0125,,false,,,,,,,Размер,D600,,,,,Fri Jun 07 2024 13:48:31 GMT+0000 (Coordinated Universal Time),Wed Jun 12 2024 13:17:18 GMT+0000 (Coordinated Universal Time),
